"Term","Course","Enrollment","MedianGrade"
"TERM","COURSE","ENRL","MEDIAN"
"11F","GOVT-068-01","21","B+"
"11F","GOVT-085-02","13","A-"
"11F","GOVT-085-08","16","A-"
"11F","GOVT-085-12","16","A-"
"11F","GOVT-090-90","15","B+"
"11F","GOVT-091-90","15","A"
"11F","GOVT-092-90","15","A-"
"11F","HIST-001-01","32","B+"
"11F","HIST-003-01","25","A-"
"11F","HIST-005-01","28","B+"
"11F","HIST-005-02","31","A-"
"11F","HIST-005-05","42","B+"
"11F","HIST-005-09","14","A-"
"11F","HIST-007-01","16","A"
"11F","HIST-009-01","27","A-"
"11F","HIST-014-01","73","B+"
"11F","HIST-025-01","31","A-"
"11F","HIST-036-01","58","B+"
"11F","HIST-041-90","15","B+"
"11F","HIST-045-01","36","B+"
"11F","HIST-049-01","14","B+"
"11F","HIST-051-01","20","A-"
"11F","HIST-053-01","40","B+"
"11F","HIST-057-01","14","B+"
"11F","HIST-067-01","18","A-"
"11F","HIST-083-01","13","A"
"11F","HIST-094-04","13","A-"
"11F","HIST-096-01","11","A-"
"11F","HIST-096-02","10","A /A-"
"11F","HIST-098-01","14","A"
"11F","HUM -001-02","12","A-/B+"
"11F","HUM -001-03","12","A-"
"11F","HUM -001-04","13","A-"
"11F","INTS-015-01","35","A-"
"11F","ITAL-001-01","18","A"
"11F","ITAL-001-02","16","A-"
"11F","ITAL-001-03","15","A"
"11F","ITAL-002-01","12","A-"
"11F","ITAL-003-01","11","A-"
"11F","ITAL-003-90","10","A /A-"
"11F","ITAL-005-90","10","A-"
"11F","ITAL-006-90","10","A-"
"11F","JAPN-081-01","11","A"
"11F","JWST-006-01","70","B+"
"11F","JWST-022-01","48","A"
"11F","LACS-001-01","16","B+"
"11F","LAT -001-01","13","B"
"11F","LAT -001-02","17","A"
"11F","LATS-003-01","12","A"
"11F","LING-001-01","62","A"
"11F","LING-011-01","20","A-"
"11F","LING-022-01","17","B+"
"11F","LING-035-01","16","A"
"11F","M&SS-015-01","21","A-"
"11F","M&SS-036-01","13","B+"
"11F","M&SS-041-01","16","A"
"11F","MATH-001-01","50","B"
"11F","MATH-001-02","50","B"
"11F","MATH-003-01","220","B"
"11F","MATH-003-02","220","B"
"11F","MATH-003-03","220","B"
"11F","MATH-005-01","12","B+"
"11F","MATH-008-01","102","B"
"11F","MATH-008-02","102","B"
"11F","MATH-008-03","102","B"
"11F","MATH-011-01","159","A-"
"11F","MATH-011-02","159","A-"
"11F","MATH-011-03","159","A-"
"11F","MATH-012-01","22","A-"
"11F","MATH-013-01","19","B"
"11F","MATH-020-01","39","B+"
"11F","MATH-022-01","29","B+"
